Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,quality (run),ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,tissue
SRR7983077,RNA-Seq,295,9108001686,PRJNA495106,SAMN10219282,Plant,3685073706,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",4 days cold treatment,japonica,SRX4814363,China,Asia,China: Northeast?,Illumina HiSeq 2500,T23,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 2,2018-10-10T10:06:00Z,1,6-2,SRP164600,anther-2
SRR7983078,RNA-Seq,295,10268046118,PRJNA495106,SAMN10219283,Plant,4201643340,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",4 days cold treatment,japonica,SRX4814362,China,Asia,China: Northeast?,Illumina HiSeq 2500,T24,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 3,2018-10-10T10:12:00Z,1,6-3,SRP164600,anther-2
SRR7983079,RNA-Seq,294,7351457562,PRJNA495106,SAMN10219280,Plant,2964312533,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2 days cold treatment,japonica,SRX4814361,China,Asia,China: Northeast?,Illumina HiSeq 2500,T21,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 3,2018-10-10T10:02:00Z,1,5-3,SRP164600,anther-2
SRR7983080,RNA-Seq,295,8935105036,PRJNA495106,SAMN10219281,Plant,3613544905,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",4 days cold treatment,japonica,SRX4814360,China,Asia,China: Northeast?,Illumina HiSeq 2500,T22,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 1,2018-10-10T10:08:00Z,1,6-1,SRP164600,anther-2
SRR7983081,RNA-Seq,295,8250744030,PRJNA495106,SAMN10219278,Plant,3367969384,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2 days cold treatment,japonica,SRX4814359,China,Asia,China: Northeast?,Illumina HiSeq 2500,T19,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 1,2018-10-10T10:06:00Z,1,5-1,SRP164600,anther-2
SRR7983082,RNA-Seq,295,8212639628,PRJNA495106,SAMN10219279,Plant,3335064190,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2 days cold treatment,japonica,SRX4814358,China,Asia,China: Northeast?,Illumina HiSeq 2500,T20,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 2,2018-10-10T10:06:00Z,1,5-2,SRP164600,anther-2
SRR7983083,RNA-Seq,295,8551868430,PRJNA495106,SAMN10219276,Plant,3470362283,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",no cold treatment,japonica,SRX4814357,China,Asia,China: Northeast?,Illumina HiSeq 2500,T17,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 2,2018-10-10T10:03:00Z,1,4-2,SRP164600,anther-2
SRR7983084,RNA-Seq,296,9126285864,PRJNA495106,SAMN10219277,Plant,3687365436,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",no cold treatment,japonica,SRX4814356,China,Asia,China: Northeast?,Illumina HiSeq 2500,T18,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 3,2018-10-10T10:05:00Z,1,4-3,SRP164600,anther-2
SRR7983085,RNA-Seq,295,7971386384,PRJNA495106,SAMN10219274,Plant,3207595096,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",4 days cold treatment,japonica,SRX4814355,China,Asia,China: Northeast?,Illumina HiSeq 2500,T15,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 3,2018-10-10T10:03:00Z,1,3-3,SRP164600,anther-1
SRR7983086,RNA-Seq,295,6382284518,PRJNA495106,SAMN10219275,Plant,2557780968,JIAMUSI RICE RESEARCH INSTITUTE OF HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",no cold treatment,japonica,SRX4814354,China,Asia,China: Northeast?,Illumina HiSeq 2500,T16,PAIRED,RANDOM,TRANSCRIPTOMIC,Oryza sativa Japonica Group,ILLUMINA,PHRED_33,2018-10-12T00:00:00Z,replicate = biological replicate 1,2018-10-10T10:03:00Z,1,4-1,SRP164600,anther-2
