"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC_Os03g10780",1664.51998582893,2.35362136924154,0.0940419128387427,25.027365971143,3.07980938865398e-138,8.24033800028258e-134
"LOC_Os06g50880",909.079776535092,2.18652910885916,0.09282849107451,23.5545044797089,1.12878058511428e-122,1.51008266676589e-118
"LOC_Os01g15860",835.461058156211,1.82001272289466,0.0967762325151968,18.8064018984089,6.69291682576149e-79,5.96918941966915e-75
"LOC_Os01g49026",558.858849104301,-1.55865148209795,0.0862798649716963,-18.0650663119288,6.004978488224e-73,4.01673011077304e-69
"LOC_Os03g10460",753.271642718424,1.44332435534864,0.0810496131202675,17.8079117195406,6.13566597078754e-71,3.28331757428783e-67
"LOC_Os07g37650",5943.74635609606,1.11916661601963,0.0639362175425316,17.5044232992847,1.32562811380436e-68,5.91141763549158e-65
"LOC_Os04g59480",601.448486394259,-1.60269732364215,0.0916861066436003,-17.4802637205669,2.02560073027278e-68,7.74242473416837e-65
"LOC_Os05g04370",1011.83222960784,1.5950916512401,0.0985890324017412,16.1791997789394,7.07074291632257e-59,2.10205330521252e-55
"LOC_Os12g35550",1080.30547046885,1.90267688637025,0.118128943761972,16.1067798100703,2.28623796243322e-58,6.11705829228633e-55
"LOC_Os12g44360",1084.40104693834,-1.67231461131763,0.104782032232841,-15.9599367914672,2.42977349775223e-57,5.91009270053261e-54
"LOC_Os10g41550",2298.87869918418,3.42377645588205,0.219376044217501,15.606883915217,6.53517869627104e-55,1.45712700997857e-51
"LOC_Os04g32580",1441.62798194089,1.92832957373876,0.126464003694307,15.2480509663444,1.69621098897328e-52,3.49106317084378e-49
"LOC_Os10g36680",342.687081142762,1.95127996765857,0.128299513026474,15.2087870143041,3.09219566705203e-52,5.90962766197458e-49
"LOC_Os12g37720",2843.71808103756,1.2167613015927,0.0807835796671315,15.0619879263381,2.87995204388695e-51,5.13706645908261e-48
"LOC_Os04g42040",73.4041973572138,-2.44982450867289,0.164672049917882,-14.8769904175879,4.64948885997872e-50,7.77510774609942e-47
"LOC_Os07g46680",227.741908894733,4.87544033146307,0.330335165748368,14.7590715036889,2.68958059062588e-49,4.23308342839918e-46
"LOC_Os10g28320",80.9733590840048,-2.40409857908006,0.162979927435048,-14.7508875290067,3.03645076643324e-49,4.51351537259377e-46
"LOC_Os01g08550",347.352949236605,1.63791306080639,0.111323340180328,14.7131145917218,5.31058065383676e-49,7.47841557758192e-46
"LOC_Os05g06300",191.907654446194,-1.73544308285635,0.119000261484846,-14.5835232729917,3.57575859017763e-48,4.78364984193963e-45
"LOC_Os07g04550",600.637554211069,-1.42834068961768,0.0979974696616498,-14.5752813266427,4.03457155732251e-48,5.1404284089391e-45
"LOC_Os03g39860",2505.97982417685,2.96424200972049,0.203596668258375,14.5593836828347,5.09147538638563e-48,6.19215979264245e-45
"LOC_Os07g09000",876.746888928369,-1.29737170992244,0.0900500226597817,-14.4072335753212,4.66005365180564e-47,5.42106067424833e-44
"LOC_Os09g31031",3343.23364507092,5.23909234212937,0.36386609505326,14.3984075827744,5.29494808227921e-47,5.90298462039427e-44
"LOC_Os01g03090",2544.17809512531,1.00340563320235,0.0706388871400717,14.2047202868962,8.56439338170798e-46,9.16595637283915e-43
"LOC_Os02g06480",2143.15414294484,3.01771293092421,0.213167765518219,14.1565162236796,1.70226195331626e-45,1.75175849318961e-42
"LOC_Os06g39240",3720.60861894656,6.58925883021556,0.468226554191062,14.0728003810027,5.58146610366507e-45,5.53102618776528e-42
"LOC_Os03g20470",1064.38374234082,1.10599952906116,0.078647220092512,14.0627924008018,6.42981719978179e-45,6.14414960704862e-42
"LOC_Os02g41820",7077.83206820487,1.64316679557892,0.118994187344928,13.8087988349875,2.25561296643675e-43,2.08107519068902e-40
"LOC_Os03g59480",985.978007755711,2.1243787202154,0.154470033677315,13.7526915068406,4.90694818024685e-43,4.17873009480019e-40
"LOC_Os12g06100",1016.77487946687,1.043841378489,0.0765830153355291,13.6301942919807,2.64874188406322e-42,2.08440405441163e-39
"LOC_Os03g19870",1453.83272070787,1.0823512229085,0.0795980452973022,13.5977110853146,4.13162400054221e-42,3.1584494788145e-39
"LOC_Os03g58520",631.922337496101,1.14962022872086,0.0853867725068395,13.4636805557767,2.55847698441999e-41,1.90151694986504e-38
"LOC_Os04g52540",2942.07474345758,1.81091840515107,0.134774205043078,13.4366840047192,3.68586870142384e-41,2.66538116149449e-38
"LOC_Os03g11660",1054.39828515677,2.07215560200844,0.154462313489677,13.4152827003133,4.920531737748e-41,3.46457229408383e-38
"LOC_Os07g37800",420.50594896211,1.31634120193482,0.0985110076418987,13.362376788591,1.00309312287729e-40,6.88173322966789e-38
"LOC_Os03g01100",1154.04093295537,1.06444457487822,0.0798625587908765,13.3284556742731,1.58137345777429e-40,1.05778070590522e-37
"LOC_Os10g24690",133.777058344837,4.83628753242138,0.364275166360907,13.276467843624,3.16997925616075e-40,2.06868207263017e-37
"LOC_Os01g16430",4480.93436089882,1.78042363121358,0.134437850242706,13.2434699602776,4.92210828740734e-40,3.1356173651874e-37
"LOC_Os04g49450",1371.10744014523,4.39643082788756,0.334317115782649,13.150480846891,1.69095673783141e-39,1.05216833668412e-36
"LOC_Os07g38400",287.666021586684,-1.56873630428768,0.119432302732006,-13.1349414555606,2.07651968886204e-39,1.26271274534529e-36
"LOC_Os03g51840",299.878451388684,1.48468291679175,0.114052385809085,13.0175524716949,9.72379403219032e-39,5.78155184722854e-36
"LOC_Os12g31790",285.059796127005,-1.03752469510199,0.0799023447498603,-12.9849092457803,1.49014706049219e-38,8.66747277185415e-36
"LOC_Os01g04650",4555.65105985756,-1.29908638149919,0.101065958066629,-12.8538471939559,8.18367775803507e-38,4.65877621476567e-35
"LOC_Os01g68960",184.969088515939,3.4258515852281,0.273388421976405,12.5310777993509,5.04720614166499e-36,2.70086095052777e-33
"LOC_Os09g34970",335.010358933153,-1.11527477460718,0.0893524593128905,-12.4817468168589,9.39036365676724e-36,4.92644254902871e-33
"LOC_Os02g58090",5910.30937300857,1.15378525651856,0.0924913733283772,12.4745175144303,1.02827152646391e-35,5.29085249270548e-33
"LOC_Os02g38050",25059.3542644714,2.52328708735341,0.202490558122456,12.4612580001259,1.21439696658482e-35,6.13064249772517e-33
"LOC_Os08g03640",15965.9410189123,1.46271299587899,0.118569376867662,12.336347162485,5.77154584726811e-35,2.85969408684269e-32
"LOC_Os10g31820",977.757919817901,-1.34375625190899,0.109109697554821,-12.3156445487701,7.46166411295381e-35,3.56507651796772e-32
"LOC_Os10g34540",2131.09953586134,1.45591993105807,0.118574015268192,12.278574928622,1.18059487599461e-34,5.54175377230033e-32
"LOC_Os01g62870",345.504405954018,-2.15692734732571,0.176004885938035,-12.2549288096757,1.58088112870351e-34,7.16916194569343e-32
"LOC_Os05g48855",2790.09358280746,1.83713923309071,0.150112688007681,12.2384007472886,1.93813889450363e-34,8.64280737688986e-32
"LOC_Os03g43100",117.334588046531,5.95340123335651,0.48920229340515,12.169610227943,4.51232037103909e-34,1.97920727618888e-31
"LOC_Os12g33020",1819.58635954907,1.30260841766494,0.107590274951976,12.1071204460289,9.68342663042959e-34,4.17886714393184e-31
"LOC_Os04g57560",2982.68886103207,-3.35918143933625,0.27867701733139,-12.0540311199817,1.84691506026209e-33,7.84381894482101e-31
"LOC_Os01g27530",63.7590968307326,2.53780393701444,0.210611605824054,12.0496870392534,1.94687711516529e-33,8.1391631395879e-31
"LOC_Os04g35910",1838.78604821745,1.20851950512105,0.10063598099761,12.0088212301498,3.19364726903382e-33,1.31460348200414e-30
"LOC_Os01g64290",235.86527143884,1.7693811699852,0.148113389551335,11.9461257037261,6.80230498172511e-33,2.75761321350056e-30
"LOC_Os02g46956",663.70472759893,1.34915280295959,0.11343362801441,11.8937640149198,1.27526996758754e-32,5.09270496310032e-30
"LOC_Os12g08210",399.037804025575,2.11921981437013,0.179329184846816,11.8174842325882,3.17036887886508e-32,1.22936796699876e-29
"LOC_Os05g03490",777.229623507029,1.34139454407537,0.11373699994602,11.7938273799379,4.20010149211324e-32,1.60539879318546e-29
"LOC_Os10g35730",320.702955256552,1.7864334615829,0.151535207317186,11.7889003698238,4.45317311951464e-32,1.67815633782724e-29
"LOC_Os01g55170",1644.53830510041,1.29396524164877,0.109886257083884,11.7754965542324,5.22087557161216e-32,1.94013537213965e-29
"LOC_Os02g38130",327.131497682608,1.77980820942888,0.151569002838932,11.7425606561536,7.71156440937136e-32,2.82644681283753e-29
"LOC_Os06g23530",1979.91907878389,1.80011146258866,0.153527267656325,11.7250276779383,9.48700249681149e-32,3.43019241627957e-29
"LOC_Os10g32710",3993.00651365454,1.23404907655217,0.105305390208189,11.7187645771262,1.02150785721856e-31,3.64419523036531e-29
"LOC_Os09g39980",285.558992234409,-1.10713065332604,0.0945067222479514,-11.7148349555636,1.0699940445253e-31,3.76694219148932e-29
"LOC_Os06g06470",1924.6215711528,4.59640328062802,0.396269678707154,11.5991798706981,4.16046113871699e-31,1.44567919775989e-28
"LOC_Os10g35960",3208.4072520619,-1.35029184977105,0.116654259839292,-11.575161092542,5.50677243378991e-31,1.87511061994212e-28
"LOC_Os06g06330",1048.0324483404,1.27435844102117,0.11009861655622,11.5746998543841,5.53646804363235e-31,1.87511061994212e-28
"LOC_Os06g45360",235.532665028411,-2.000164769044,0.172959271496195,-11.5643686038999,6.24489679156813e-31,2.06282047599008e-28
"LOC_Os04g40840",1148.33437359922,1.31666196049577,0.114707004864566,11.4784791220933,1.69231114390049e-30,5.52188743490261e-28
"LOC_Os08g40190",502.329699811037,1.32286673416197,0.115326697370116,11.4706027687285,1.85363586544393e-30,5.97540737539974e-28
"LOC_Os02g47760",635.476130065878,1.05075901880479,0.0920331489058708,11.4171799106807,3.43189972247806e-30,1.09314177350742e-27
"LOC_Os06g04780",1660.13034818432,1.89150731607947,0.166361578617017,11.3698567409843,5.90844821382124e-30,1.85984047540001e-27
"LOC_Os03g47550",1562.97016589147,1.09708842988855,0.0974865920556605,11.2537366088473,2.21984289097854e-29,6.74933140807066e-27
"LOC_Os07g13810",330.006886987176,2.21792924324229,0.197260341900477,11.2436652084953,2.48832130845661e-29,7.48062077854662e-27
"LOC_Os08g20570",810.593096560365,-2.59675862230558,0.2321000068691,-11.1881023069943,4.66306757206079e-29,1.37104435118746e-26
"LOC_Os05g06660",73.6148762193978,-2.36339564815682,0.212870197483313,-11.1025201089603,1.21955801573364e-28,3.54679285532275e-26
"LOC_Os07g16140",413.220741005502,-1.13255448340116,0.102430868664698,-11.0567692939178,2.03288480635437e-28,5.78636871051251e-26
"LOC_Os08g25060",1452.10957990404,1.08576774221481,0.0983814180200884,11.0363091330225,2.55306050197521e-28,7.19049334640512e-26
"LOC_Os10g41534",986.594321674045,1.3138657082631,0.119964328210026,10.9521365881604,6.4898467727379e-28,1.80877437761849e-25
"LOC_Os03g44430",610.088000506536,1.91995682195205,0.176083097253027,10.903697469571,1.10666811167654e-27,3.05257855629047e-25
"LOC_Os05g47490",88.0433727776544,2.37425646537269,0.217788539713786,10.9016593274049,1.13174300598654e-27,3.08988937430365e-25
"LOC_Os05g32370",386.47744457505,4.27041972965444,0.393660113749746,10.8479868305103,2.03866092722527e-27,5.45464117688392e-25
"LOC_Os06g07080",7353.61701792221,1.27870883678773,0.117913476115249,10.84446730701,2.11866448904761e-27,5.61257297712454e-25
"LOC_Os01g37790",1245.9107692845,1.13921964913263,0.10525674509077,10.8232460366337,2.67144864181594e-27,7.00757645690464e-25
"LOC_Os05g01560",590.030291118434,-1.26541561377684,0.117477995830801,-10.7715117612269,4.692323919063e-27,1.2071905651774e-24
"LOC_Os02g06890",124.068351898829,-1.80796706115271,0.168395926126444,-10.7364061752608,6.86655327575621e-27,1.74972856615365e-24
"LOC_Os07g19060",246.494528137876,-1.2742088666022,0.118959607485923,-10.7112732929367,9.01137646307758e-27,2.2533494265991e-24
"LOC_Os05g39530",930.890279122183,1.10300744615765,0.10376465608297,10.6298954556905,2.1635487020399e-26,5.31081734603483e-24
"LOC_Os01g27720",648.133631697634,1.11522390254731,0.10499519437931,10.6216661547233,2.36305165326568e-26,5.70727419769226e-24
"LOC_Os03g06220",2603.51654505567,1.206512931958,0.113591770186998,10.6214819081682,2.3677210193745e-26,5.70727419769226e-24
"LOC_Os01g43390",509.92841224485,-1.38432322679731,0.131001779025402,-10.5672093699497,4.22891414124619e-26,1.00131705100162e-23
"LOC_Os03g08140",775.187412167582,1.66672933279159,0.158292222266817,10.5294455338567,6.32056757174629e-26,1.48344829780389e-23
"LOC_Os06g19444",295.346539902964,2.5640254192683,0.244266754375517,10.4968251853323,8.9334280968147e-26,2.07845914920325e-23
"LOC_Os08g25460",2587.90906517358,1.27207414163468,0.121685376447051,10.4537963293248,1.40774866178273e-25,3.24704510298782e-23
"LOC_Os01g15890",155.384496157485,1.53767348052664,0.147479013961759,10.4263884007616,1.87894828749096e-25,4.29684960513745e-23
"LOC_Os02g20170",277.084387705759,-1.92491334152102,0.185684532409389,-10.3665788234695,3.518984783813e-25,7.91209721644543e-23
"LOC_Os01g18100",735.420965324543,1.81235462224556,0.174859513440322,10.3646326504511,3.5913572925396e-25,8.00752964326579e-23
"LOC_Os10g35000",1155.66213164569,1.36197051037232,0.131457733630269,10.3605202429772,3.74917241630767e-25,8.29031877444034e-23
"LOC_Os04g48375",106.170093317439,-1.94967925205007,0.18849811829044,-10.3432292573127,4.49142380439007e-25,9.85020781231646e-23
"LOC_Os09g13940",2082.46965228541,1.09103500501678,0.105654317708615,10.3264592368648,5.34990563299295e-25,1.16375670826308e-22
"LOC_Os01g53800",218.568274647639,-1.86336593065441,0.180887524709866,-10.3012406944213,6.95583135664398e-25,1.50088890143844e-22
"LOC_Os04g50970",27037.334795943,2.15045633090412,0.20921498756118,10.2786915792793,8.79129291458948e-25,1.86761172425054e-22
"LOC_Os02g56910",343.848654335184,-1.253095165736,0.121912415916201,-10.2786509176994,8.79500213991507e-25,1.86761172425054e-22
"LOC_Os07g22930",6642.52799315065,-2.77203728900312,0.269719951795034,-10.2774647205545,8.90389433465167e-25,1.8758472190389e-22
"LOC_Os05g32850",2992.76709321556,1.15646232255532,0.112587190720322,10.2717042245782,9.45199615994969e-25,1.97576257230948e-22
"LOC_Os07g01930",478.216292042834,1.08756805696477,0.1062032424432,10.2404411762327,1.30639289602938e-24,2.70960064543891e-22
"LOC_Os01g63990",660.440176461297,-1.98403298248462,0.194166999225566,-10.2181781167651,1.64401630418593e-24,3.38363847959991e-22
"LOC_Os09g36240",1324.18254005838,-3.29642508771041,0.323597275975828,-10.1868134636481,2.27085805014527e-24,4.63809755646465e-22
"LOC_Os08g06550",1712.03905883685,-2.36930586006171,0.232794248486747,-10.1776821182788,2.4943187551542e-24,5.05590853128075e-22
"LOC_Os02g44520",2113.61435107625,-1.07936625134497,0.10606716920392,-10.1762520810735,2.5312342141662e-24,5.09215809279931e-22
"LOC_Os02g50200",460.669122351149,2.6000334755392,0.255546634611736,10.1743992030634,2.57987097774938e-24,5.15127073736286e-22
"LOC_Os04g51454",397.407863626251,-2.07218010454264,0.204270471371285,-10.1442958966703,3.51302552132884e-24,6.91136109181429e-22
"LOC_Os02g17870",3340.62092300757,1.48649404387233,0.147147857392258,10.102043415486,5.41029041009446e-24,1.04896905951078e-21
"LOC_Os07g42440",881.160313426787,-1.59611239892361,0.158134252069635,-10.0934008795309,5.90862157709963e-24,1.12922199226341e-21
"LOC_Os08g40919",45366.7969274181,4.28259649149906,0.425215057647217,10.0716012156186,7.37672111927554e-24,1.39979822884636e-21
"LOC_Os12g40920",695.803058971779,-2.35981773462379,0.234844622149035,-10.0484214329857,9.33507525727657e-24,1.75893854636403e-21
"LOC_Os09g21450",76.5611508213025,-1.98373128999028,0.197701796512516,-10.0339568227681,1.08095932170462e-23,2.02252780500202e-21
"LOC_Os05g06510",338.459177892857,-2.1555071342968,0.215554618243282,-9.99981884806578,1.52676091425208e-23,2.83680659873115e-21
"LOC_Os08g16720",2323.7066080876,2.40915747862277,0.241092439116566,9.99267122374571,1.64098920390632e-23,3.02802118204948e-21
"LOC_Os05g16670",468.720261095688,-2.7246387381237,0.272856232150841,-9.98562032703531,1.76195508647121e-23,3.22896371874134e-21
"LOC_Os10g36780",267.148884910182,-1.86925280349147,0.18803040828899,-9.94122610539967,2.75416035706932e-23,4.84804700748334e-21
"LOC_Os05g01360",1600.64997355477,1.18582548825772,0.119450585014117,9.92733093871062,3.16617040414782e-23,5.53686636165876e-21
"LOC_Os05g05440",1464.28614583251,1.22518972504538,0.123441930351072,9.92523141497309,3.23351786664917e-23,5.60044321199618e-21
